,real_time-request-bases,real_time-request-end,real_time-request-exchanges,real_time-request-interval,real_time-request-methodology-vwm_twap-kind,real_time-request-methodology-vwm_twap-vwm_partition_size,real_time-request-percentiles,real_time-request-quote,real_time-request-semi_length_kind,real_time-request-semi_length_window,real_time-request-start,real_time-update_cron
KK_PR_USDTUSD,"[{'asset': 'usdt', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['bfnx', 'bnus', 'cbse', 'krkn', 'stmp']",300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_PR_USTUSD,"[{'asset': 'ust', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,['krkn'],300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_PR_VETUSD,"[{'asset': 'vet', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['bfnx', 'bnus']",300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_PR_WBTCUSD,"[{'asset': 'wbtc', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['cbse', 'hitb', 'krkn']",300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_PR_XLMUSD,"[{'asset': 'xlm', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['bfnx', 'bnus', 'cbse', 'krkn', 'stmp']",300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_PR_XMRUSD,"[{'asset': 'xmr', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['bfnx', 'krkn']",300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_PR_XRPUSD,"[{'asset': 'xrp', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['bfnx', 'btso', 'indr', 'krkn', 'lmax']",300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_PR_XTZUSD,"[{'asset': 'xtz', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['bequ', 'bfnx', 'bnus', 'cbse', 'krkn']",300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_PR_ZECUSD,"[{'asset': 'zec', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['bfnx', 'bnus', 'cbse', 'gmni', 'krkn']",300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_RR_AAVEUSD,"[{'asset': 'aave', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['cbse', 'gmni', 'itbi', 'krkn', 'oslx']",120s,UNIFORM_KERNEL,12s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,120s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
